path	mbid	rag_id	old_path	tonic	tonic_fine	len	rag_name	labels
data\RagaDataset\audio\99dcaebe-ab49-4fa3-ab6c-a9458143af8e.wav	99dcaebe-ab49-4fa3-ab6c-a9458143af8e	063ea5a0-23b1-4bb5-8537-3d924fe8ebb3	data\RagaDataset/Hindustani/audio/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Kaustuv_Kanti_Ganguli/Raag_Jog_&_Kirwani_Bhajan/Raag_Jog_99dcaebe-ab49-4fa3-ab6c-a9458143af8e	146.832384	1.466628545212803942e+02	2923.6646875	Jōg	0
data\RagaDataset\audio\566d6c64-ae66-45e7-9f91-e33cd6c0f18f.wav	566d6c64-ae66-45e7-9f91-e33cd6c0f18f	063ea5a0-23b1-4bb5-8537-3d924fe8ebb3	data\RagaDataset/Hindustani/audio/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Ajoy_Chakrabarty/Raag_Kedar_&_Jog/Raag_Jog_566d6c64-ae66-45e7-9f91-e33cd6c0f18f	146.832384	1.464935207776116783e+02	3147.3295	Jōg	0
data\RagaDataset\audio\a7f6551d-9696-4713-becb-b22acf71a7db.wav	a7f6551d-9696-4713-becb-b22acf71a7db	063ea5a0-23b1-4bb5-8537-3d924fe8ebb3	data\RagaDataset/Hindustani/audio/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Shrinivas_Joshi/Swarakruti/Raga_Jog_a7f6551d-9696-4713-becb-b22acf71a7db	155.563492	1.551148551859869258e+02	356.3333125	Jōg	0
data\RagaDataset\audio\59ebf93e-fb88-4ac1-b400-000ffbc7ae3d.wav	59ebf93e-fb88-4ac1-b400-000ffbc7ae3d	063ea5a0-23b1-4bb5-8537-3d924fe8ebb3	data\RagaDataset/Hindustani/audio/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Girija_Devi/Diva/Raag_Jog_-_Khayal_59ebf93e-fb88-4ac1-b400-000ffbc7ae3d	207.652349	2.074125981117976210e+02	2224.8228125	Jōg	0
data\RagaDataset\audio\3f66f0dc-73b7-48c4-8ad7-1f1a7dacd8bb.wav	3f66f0dc-73b7-48c4-8ad7-1f1a7dacd8bb	063ea5a0-23b1-4bb5-8537-3d924fe8ebb3	data\RagaDataset/Hindustani/audio/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Jasraj/Devataa/Bandish_In_Vlambit_Ektaal_-_Raag_Jog_3f66f0dc-73b7-48c4-8ad7-1f1a7dacd8bb	130.812783	1.308883652533406234e+02	2453.4465	Jōg	0
data\RagaDataset\audio\86d7779a-1610-4514-83a6-883997250abe.wav	86d7779a-1610-4514-83a6-883997250abe	063ea5a0-23b1-4bb5-8537-3d924fe8ebb3	data\RagaDataset/Hindustani/audio/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Jasraj/Devataa/Alaap_And_Stuti_-_Raag_Jog_86d7779a-1610-4514-83a6-883997250abe	130.812783	1.306617494043604211e+02	334.3934375	Jōg	0
data\RagaDataset\audio\e516312d-00c4-4ccc-8875-9c84f0f30207.wav	e516312d-00c4-4ccc-8875-9c84f0f30207	0b3bbf97-0ec3-41da-add4-722d87329ec3	data\RagaDataset/Hindustani/audio/0b3bbf97-0ec3-41da-add4-722d87329ec3/Jagdish_Prasad/Jewel_of_Jewels/Raga_Madhukosh_e516312d-00c4-4ccc-8875-9c84f0f30207	149.398969	1.487961149996095571e+02	2995.069375	Madhukauns	1
data\RagaDataset\audio\c35ea067-d200-40b6-ad61-241b206c97ed.wav	c35ea067-d200-40b6-ad61-241b206c97ed	0b3bbf97-0ec3-41da-add4-722d87329ec3	data\RagaDataset/Hindustani/audio/0b3bbf97-0ec3-41da-add4-722d87329ec3/Veena_Sahasrabuddhe/Ritu_Chakra_Vol_1/Raga_Madhukauns_c35ea067-d200-40b6-ad61-241b206c97ed	235.790162	2.356540035895483243e+02	1817.7305625	Madhukauns	1
data\RagaDataset\audio\a0052c33-34b7-4e68-9dcd-121410c6ce36.wav	a0052c33-34b7-4e68-9dcd-121410c6ce36	0b3bbf97-0ec3-41da-add4-722d87329ec3	data\RagaDataset/Hindustani/audio/0b3bbf97-0ec3-41da-add4-722d87329ec3/Vasantrao_Deshpande/Dr__Vasant_Rao_Deshpande_(Compilation)/Dekho_Daras_Mohe_Ram__Aaja_Re_Aaja_Patikva_-_Khayal_1972_a0052c33-34b7-4e68-9dcd-121410c6ce36	157.371053	1.571893558031428881e+02	737.959125	Madhukauns	1
data\RagaDataset\audio\7084ac88-542c-4e84-8eda-dc9735201d18.wav	7084ac88-542c-4e84-8eda-dc9735201d18	0b3bbf97-0ec3-41da-add4-722d87329ec3	data\RagaDataset/Hindustani/audio/0b3bbf97-0ec3-41da-add4-722d87329ec3/Aarti_Anklikar_Tikekar/Ragamala/Madhukaunse_Raga_7084ac88-542c-4e84-8eda-dc9735201d18	220.000000	2.194922788359451431e+02	933.2505625	Madhukauns	1
